RoomID, RoomType, Availability, Customer ID
101, Standard, False, 3058315736
102, Standard, True, 0
103, Standard, True, 0
104, Standard, True, 0
105, Standard, True, 0
106, Standard, True, 0
107, Standard, True, 0
108, Standard, True, 0
109, Standard, True, 0
110, Standard, True, 0
201, Standard, True, 0
202, Standard, True, 0
203, Standard, True, 0
204, Standard, True, 0
205, Standard, True, 0
206, Standard, True, 0
207, Standard, True, 0
208, Standard, True, 0
209, Standard, True, 0
210, Standard, True, 0
301, Standard, True, 0
302, Standard, True, 0
303, Standard, True, 0
304, Standard, True, 0
305, Standard, True, 0
306, Deluxe, True, 0
307, Deluxe, True, 0
308, Deluxe, True, 0
309, Deluxe, True, 0
310, Deluxe, True, 0
401, Deluxe, True, 0
402, Deluxe, True, 0
403, Deluxe, True, 0
404, Deluxe, True, 0
405, Deluxe, True, 0
406, Deluxe, True, 0
407, Deluxe, True, 0
408, Deluxe, True, 0
409, Deluxe, True, 0
410, Deluxe, True, 0
501, Presidential Suite, True, 0
502, Presidential Suite, True, 0
503, Presidential Suite, True, 0
504, Presidential Suite, True, 0
505, Presidential Suite, True, 0
506, Presidential Suite, True, 0
507, Presidential Suite, True, 0
508, Presidential Suite, True, 0
509, Presidential Suite, True, 0
510, Presidential Suite, True, 0
